LATITUDE|LONGITUDE|ELEVATION|DATE|AWND|CDSD|CLDD|DP01|DP10|DSND|DSNW|DT00|DT32|DX32|DX70|DX90|EMNT|EMSD|EMSN|EMXP|EMXT|FZF0|FZF1|FZF2|FZF3|FZF4|FZF5|FZF6|FZF7|FZF8|FZF9|HDSD|HTDD|PRCP|PSUN|SNOW|TAVG|TMAX|TMIN|TSUN|WDF2|WDF5|WDFG|WDMV|WSF2|WSF5|WSFG|name
62|48.647|-118.7314|798.6|1997||100.0|100.0|86.0|55.0|117.0|12.0|10.0|178.0|39.0|91.0|6.0|-11.0|26.0|3.4|1.13|97.0|28.0|28.0|24.0|20.0|15.0|29.0|28.0|22.0|18.0|15.0|8224.0|8224.0|19.07||25.4|43.7|55.1|32.3|||||||||REPUBLIC, WA US
63|48.647|-118.7314|798.6|1998||274.0|274.0|107.0|69.0||17.0|5.0|162.0|28.0|129.0|27.0|-17.0||9.3|1.68|98.0|32.0|28.0|22.0|20.0|6.0|29.0|28.0|23.0|18.0|14.0|7280.0|7280.0|26.31||50.4|46.3|58.1|34.6|||||||||REPUBLIC, WA US
64|46.27|-121.96|1197.9|1997||||176.0|176.0|||||||||||3.1||||||||||||||116.86||||||||||||||LONE PINE, WA US
65|46.27|-121.96|1197.9|1998||137.0|137.0|172.0|172.0|||2.0|141.0|42.0|41.0|0.0|-2.0|||4.0|89.0|32.0|28.0|24.0|15.0|15.0|31.0|27.0|23.0|9.0|9.0|8456.0|8456.0|109.75|||42.1|47.2|37.0|||||||||LONE PINE, WA US
66|45.8081|-120.8428|499.9|1997||367.0|367.0|92.0|44.0|31.0|3.0|0.0|135.0|14.0|142.0|28.0|8.0|7.0|2.0|1.31|103.0|32.0|24.0|24.0|20.0||32.0|27.0|22.0|19.0|15.0|5990.0|5990.0|16.65||7.0|50.3|63.1|37.5|||||||||GOLDENDALE, WA US
67|46.35|-121.51|1374.6|1997||0.0|0.0|170.0|170.0|||0.0|218.0|55.0|42.0|0.0|3.0|||2.6|86.0|29.0|28.0|24.0|18.0|16.0|29.0|24.0|24.0|19.0|9.0|9843.0|9843.0|76.07|||38.5|47.7|29.2|||||||||POTATO HILL, WA US
68|46.35|-121.51|1374.6|1998||||170.0|170.0|||||||||||3.8||||||||||||||79.55||||||||||||||POTATO HILL, WA US
69|47.3|-121.6|1161.3|1997|4.3|23.0|23.0|202.0|202.0|||0.0|152.0|33.0|32.0|0.0|13.0|||4.5|82.0|31.0|28.0|24.0|18.0||30.0|28.0|16.0|16.0|14.0|8523.0|8523.0|120.06|||42.4|49.2|35.7|||||||||REX RIVER, WA US
70|47.3|-121.6|1161.3|1998|3.6|65.0|65.0|185.0|185.0|||1.0|154.0|28.0|42.0|0.0|-1.0|||4.0|87.0|32.0|27.0|23.0|14.0|14.0|31.0|25.0|22.0|19.0|8.0|8174.0|8174.0|104.74|||42.6|49.3|35.9|||||||||REX RIVER, WA US
71|46.81|-121.33|1405.1|1997||30.0|30.0|166.0|166.0|||0.0|209.0|69.0|52.0|0.0|3.0|||6.1|89.0|29.0|28.0|24.0|19.0|15.0|32.0|27.0|22.0|19.0|15.0|||89.02|||39.2|47.4|30.9|||||||||BUMPING RIDGE, WA US
